基盤研究開発部門,https://www.riken.jp/research/labs/r-ih/infrastruct_res_dev_div/index.html,,,,"  〒351-0198 埼玉県和光市広沢2-1情報基盤棟"
データ知識化開発ユニット,https://www.riken.jp/research/labs/r-ih/infrastruct_res_dev_div/data_knowl_org/index.html,情報学,"工学,化学,複合領域,総合理工,数物系科学,知能情報学,ウェブ情報学・サービス情報学,計算科学","オープンサイエンス,セマンティックウエブ,オントロジー,リンクト・オープン・データ,データ利活用基盤","〒351-0198 埼玉県和光市広沢2-1 情報基盤棟,Tel: 048-467-9323,Fax: 048-462-4634,Email: norio.kobayashi@riken.jp"
データ管理システム開発ユニット,https://www.riken.jp/research/labs/r-ih/infrastruct_res_dev_div/data_mange_sys/index.html,情報学,"工学,化学,総合理工,数物系科学,計算機システム,情報セキュリティ,マルチメディア・データベース","研究データ管理(RDM),オープンサイエンス,大規模データストレージ,ディペンダビリティ,標準化","〒351-0198 埼玉県和光市広沢2-1 情報基盤棟 ,Tel: 048-467-4971 ,Email: hideyuki.jitsumoto@riken.jp"
生命科学データ共有開発ユニット,https://www.riken.jp/research/labs/r-ih/infrastruct_res_dev_div/life_sci_data_share/index.html,情報学,"生命・健康・医療情報学,システムゲノム科学,マルチメディア・データベース,総合生物, 生物学,医歯薬学,農学","オープンサイエンス,データ統合,生命科学データ,生物データ科学,メタデータ","〒650-0047 兵庫県神戸市中央区港島南町2-2-3"
先端データサイエンスプロジェクト,https://www.riken.jp/research/labs/r-ih/adv_data_sci_proj/index.html,,,,"  〒230-0045 神奈川県横浜市鶴見区末広町1-7-22 東研究棟E216,Email: adsp-web@ml.riken.jp"
医療データ数理推論チーム,https://www.riken.jp/research/labs/r-ih/adv_data_sci_proj/med_data_math_res/index.html,総合生物,"情報学,複合領域,数物系科学,生物学,医歯薬学,情報学フロンティア,生物科学,基礎医学","生命動態,機械学習,システム生物学,バイオインフォマティクス","  〒230-0045 神奈川県横浜市鶴見区末広町1-7-22 西研究棟W507/509,Email: eiryo.kawakami@riken.jp  "
医療データ深層学習チーム,https://www.riken.jp/research/labs/r-ih/adv_data_sci_proj/med_data_deep_learn/index.html,複合領域,"情報学,総合生物,生物学,医歯薬学","深層学習,システムバイオロジー,システム医学","  〒103-0027 東京都中央区日本橋1-4-1 日本橋一丁目三井ビルディング15階 ,Tel: 03-6225-2246,Email: jun.seita@riken.jp  "
開放系総合信頼性チーム,https://www.riken.jp/research/labs/r-ih/adv_data_sci_proj/open_sys_dependable/index.html,工学,"情報学,複合領域,ソフトウェア,情報学基礎理論,社会システム工学・安全システム","開放系,総合信頼性,合意記述データベース,ライフサイクルプロセス,変化対応","  〒103-0027 東京都中央区日本橋1-4-1 日本橋一丁目三井ビルディング 15階,Email: yasuhiko.yokote@riken.jp  "
データサイエンスデザインチーム,https://www.riken.jp/research/labs/r-ih/adv_data_sci_proj/data_sci_des/index.html,複合領域,"情報学,総合人文社会,社会科学,デザイン学,統計科学,サービス情報学","サービスデザイン,データサイエンス,人間中心設計,インタラクション,社会課題解決","  〒351-0198 埼玉県和光市広沢2-1情報基盤棟212-3 ,Tel: 048-467-9732,Email: masayuki.ihara@riken.jp  "
ガーディアンロボットプロジェクト,https://www.riken.jp/research/labs/r-ih/guard_robo_proj/index.html,複合領域,"工学,情報学,総合人文社会,社会科学,総合理工,数物系科学,総合生物,知能ロボティクス,知覚情報処理,認知科学","ロボティクス,人工知能,脳科学,認知心理学,工学","  〒619-0288 京都府相楽郡精華町光台光台2-2-2（けいはんな学研都市）株式会社国際電気通信基礎技術研究所内3階,Tel: 0774-95-1360,Email: robotics-info@ml.riken.jp"
