監事室,https://www.nims.go.jp/nims/organization/auditor-office.html
理事,https://www.nims.go.jp/nims/executive/
執行役,https://www.nims.go.jp/nims/executive/
フェロー/特別フェロー/名誉フェロー,https://www.nims.go.jp/nims/fellow.html
審議役,https://www.nims.go.jp/nims/executive/
理事長特別参与,https://www.nims.go.jp/nims/executive/
,https://www.nims.go.jp
監事室,https://www.nims.go.jp/nims/organization/auditor-office.html
秘書室,https://www.nims.go.jp/nims/organization/direct-controlled.html#place1
監査室,https://www.nims.go.jp/nims/organization/direct-controlled.html#place2
情報セキュリティ統括室,https://www.nims.go.jp/nims/organization/direct-controlled.html#place3
内部統制推進室,https://www.nims.go.jp/nims/organization/div_compliance.html#place1
経営戦略室,https://www.nims.go.jp/nims/organization/div_planning.html#place1
広報室,https://www.nims.go.jp/nims/organization/div_planning.html#place2
TIA推進室,https://www.nims.go.jp/nims/organization/div_planning.html#place3
業務システム統合室,https://www.nims.go.jp/nims/organization/div_planning.html#place4
知的財産室,https://www.nims.go.jp/nims/organization/div_collaboration.html#place1
企業連携室,https://www.nims.go.jp/nims/organization/div_collaboration.html#place2
"若手国際研究センター (ICYS) ",https://www.nims.go.jp/hr-development/icys/index.html
グローバル連携室,https://www.nims.go.jp/nims/organization/div_globalnetworking.html#place2
人材開発室,https://www.nims.go.jp/nims/organization/div_humanresources.html#place1
人事室,https://www.nims.go.jp/nims/organization/div_humanresources.html#place2
総務室,https://www.nims.go.jp/nims/organization/div_general.html#place1
経理室,https://www.nims.go.jp/nims/organization/div_general.html#place2
調達室,https://www.nims.go.jp/nims/organization/div_general.html#place3
競争的資金室,https://www.nims.go.jp/nims/organization/div_general.html#place4
施設企画管理室,https://www.nims.go.jp/nims/organization/div_infra.html#place1
安全管理室,https://www.nims.go.jp/nims/organization/div_infra.html#place2
IT室,https://www.nims.go.jp/nims/organization/div_infra.html#place3
,https://www.nims.go.jp
分子機能化学グループ,https://www.nims.go.jp/research/group/molecular-design/
電子機能高分子グループ,https://www.nims.go.jp/research/group/functional-macromolecule/
機能性粘土材料グループ,https://www.nims.go.jp/research/group/functional-clay/
バイオセラミックスグループ,https://www.nims.go.jp/research/group/bioceramics/
生体組織再生材料グループ,https://www.nims.go.jp/research/group/tissue-regeneration-materials/
バイオポリマーグループ,https://www.nims.go.jp/research/group/biopolymer/
スマートポリマーグループ,https://www.nims.go.jp/research/group/smart-polymers/index.html
医療応用ソフトマターグループ,https://www.nims.go.jp/research/group/medical-soft-matter/
メカノバイオロジーグループ,https://www.nims.go.jp/research/group/mechanobiology/
分子メカトロニクスグループ,https://www.nims.go.jp/research/group/molecular-mechatronics/index.html
プリンテッドエレクトロニクスグループ,https://www.nims.go.jp/research/group/printed-electronics/
ナノメディシングループ,https://www.nims.go.jp/research/group/nanomedicine/
電子セラミックスグループ,https://www.nims.go.jp/research/group/electroceramics/
超高圧グループ,https://www.nims.go.jp/research/group/high-pressure/
セラミックス表面・界面グループ,https://www.nims.go.jp/research/group/ceramics-surface-interface/
ワイドギャップ半導体グループ,https://www.nims.go.jp/research/group/wide-band-gap/
低温超伝導線材グループ,https://www.nims.go.jp/research/group/low-tc-superconductor/
ナノ電子デバイス材料グループ,https://www.nims.go.jp/research/group/nano-electronics-device-materials/
超伝導システムグループ,https://www.nims.go.jp/research/group/superconducting-system/
電気化学センサグループ,https://www.nims.go.jp/research/group/electrochemical-sensors/
嗅覚センサグループ,https://www.nims.go.jp/research/group/olfactory-sensors/
次世代半導体グループ,https://www.nims.go.jp/research/group/next-generation-semicondoctor/
光学単結晶グループ,https://www.nims.go.jp/research/group/optical-crystal/
セラミックスプロセッシンググループ,https://www.nims.go.jp/research/group/ceramics-processing/
プラズモニクスグループ,https://www.nims.go.jp/research/group/plasmonics/
外場制御焼結グループ,https://www.nims.go.jp/research/group/field-assisted-sintering/
蛍光体グループ,https://www.nims.go.jp/research/group/luminescent-materials/
エピタキシャルナノ構造グループ,https://www.nims.go.jp/research/group/epitaxial-nanostructures/
コロイド結晶材料グループ,https://www.nims.go.jp/research/group/softopal/
微粒子工学グループ,https://www.nims.go.jp/research/group/fine-particles/
ナノフォトニクスグループ,https://www.nims.go.jp/research/group/nanophotonics/
,https://www.nims.go.jp
二次電池材料グループ,https://www.nims.go.jp/research/group/rechargeable-battery/
全固体電池グループ,https://www.nims.go.jp/research/group/all-solid-state-battery/
